datetime,drawdown,maxdrawdown,timereturn,value,cash,pnlplus,pnlminus
2015-06-16 15:15:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 09:20:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 09:25:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 09:30:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 09:35:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 09:40:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 09:45:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 09:50:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 09:55:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 10:00:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 10:05:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 10:10:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 10:15:00,0.00,0.00,0.00,10000000.00,10000000.00,nan,nan
2015-06-17 10:20:00,0.00,0.00,-0.00,9999943.06,7522777.06,nan,nan
2015-06-17 10:25:00,0.00,0.00,-0.00,9999943.06,7528885.06,nan,nan
2015-06-17 10:30:00,0.00,0.00,-0.00,9999943.06,7525831.06,nan,nan
2015-06-17 10:35:00,0.00,0.00,-0.00,9999943.06,7536571.06,nan,nan
2015-06-17 10:40:00,0.00,0.00,-0.00,9999943.06,7534303.06,nan,nan
2015-06-17 10:45:00,0.00,0.00,-0.00,9999943.06,7551841.06,nan,nan
2015-06-17 10:50:00,0.00,0.00,-0.00,9999943.06,7549477.06,nan,nan
2015-06-17 10:55:00,0.00,0.00,-0.00,9999943.06,7540411.06,nan,nan
2015-06-17 11:00:00,0.00,0.00,-0.00,9999943.06,7541893.06,nan,nan
2015-06-17 11:05:00,0.00,0.00,-0.00,9999943.06,7550365.06,nan,nan
2015-06-17 11:10:00,0.00,0.00,-0.00,9999943.06,7531747.06,nan,nan
2015-06-17 11:15:00,0.00,0.00,-0.00,9999943.06,7529773.06,nan,nan
2015-06-17 11:20:00,0.00,0.00,-0.00,9999943.06,7535587.06,nan,nan
2015-06-17 11:25:00,0.00,0.00,-0.00,9999943.06,7536079.06,nan,nan
2015-06-17 11:30:00,0.00,0.00,-0.00,9999943.06,7540807.06,nan,nan
2015-06-17 13:05:00,0.00,0.00,-0.00,9999943.06,7537063.06,nan,nan
2015-06-17 13:10:00,0.00,0.00,-0.00,9999943.06,7526029.06,nan,nan
2015-06-17 13:15:00,0.00,0.00,-0.00,9999943.06,7514503.06,nan,nan
2015-06-17 13:20:00,0.00,0.00,-0.00,9999943.06,7512241.06,nan,nan
2015-06-17 13:25:00,0.00,0.00,-0.00,9999943.06,7510561.06,nan,nan
2015-06-17 13:30:00,0.00,0.00,-0.00,9999943.06,7503079.06,nan,nan
2015-06-17 13:35:00,0.00,0.00,-0.00,9999943.06,7508695.06,nan,nan
2015-06-17 13:40:00,0.00,0.00,-0.00,9999943.06,7511353.06,nan,nan
2015-06-17 13:45:00,0.00,0.00,-0.00,9999943.06,7521595.06,nan,nan
2015-06-17 13:50:00,0.00,0.00,-0.00,9999943.06,7504357.06,nan,nan
2015-06-17 13:55:00,0.00,0.00,-0.00,9999943.06,7501405.06,nan,nan
2015-06-17 14:00:00,0.00,0.00,-0.00,9999943.06,7501009.06,nan,nan
2015-06-17 14:05:00,0.00,0.00,-0.00,9999943.06,7498939.06,nan,nan
2015-06-17 14:10:00,0.00,0.00,-0.00,9999943.06,7500715.06,nan,nan
2015-06-17 14:15:00,0.00,0.00,-0.00,9999943.06,7493323.06,nan,nan
2015-06-17 14:20:00,0.00,0.00,-0.00,9999943.06,7485739.06,nan,nan
2015-06-17 14:25:00,0.00,0.00,-0.00,9999943.06,7486129.06,nan,nan
2015-06-17 14:30:00,0.00,0.00,-0.00,9999943.06,7469287.06,nan,nan
2015-06-17 14:35:00,0.00,0.00,-0.00,9999943.06,7472539.06,nan,nan
2015-06-17 14:40:00,0.00,0.00,-0.00,9999943.06,7459333.06,nan,nan
2015-06-17 14:45:00,0.00,0.00,-0.00,9999943.06,7467121.06,nan,nan
2015-06-17 14:50:00,0.00,0.00,-0.00,9999943.06,7474309.06,nan,nan
