date,amount,price,sid,symbol,value
2015-04-27 10:06:00+00:00,10,3296.6,0,,-32966.0
2015-04-27 11:12:00+00:00,-10,3276.4,0,,32764.0
2015-04-27 11:13:00+00:00,10,3280.2,0,,-32802.0
2015-04-27 15:15:00+00:00,-10,3352.2,0,,33522.0
2015-10-27 10:06:00+00:00,-13,2448.8,0,,31834.4
2015-10-27 14:18:00+00:00,13,2462.3,0,,-32009.9
2015-10-27 14:19:00+00:00,-13,2460.1,0,,31981.3
2015-10-27 15:15:00+00:00,13,2468.0,0,,-32084.0
2015-11-04 10:06:00+00:00,13,2442.7,0,,-31755.1
2015-11-04 15:15:00+00:00,-13,2522.6,0,,32793.799999999996
2015-11-12 10:06:00+00:00,-13,2644.8,0,,34382.4
2015-11-12 15:15:00+00:00,13,2623.9,0,,-34110.700000000004
2015-11-16 10:06:00+00:00,13,2579.9,0,,-33538.700000000004
2015-11-16 15:15:00+00:00,-13,2595.8,0,,33745.4
2015-11-24 10:06:00+00:00,-13,2571.5,0,,33429.5
2015-11-24 14:41:00+00:00,13,2585.3,0,,-33608.9
2015-11-24 14:42:00+00:00,13,2585.1,0,,-33606.299999999996
2015-11-24 15:15:00+00:00,-13,2585.9,0,,33616.700000000004
2015-11-27 10:06:00+00:00,-13,2581.8,0,,33563.4
2015-11-27 15:15:00+00:00,13,2489.8,0,,-32367.4
2015-12-14 10:06:00+00:00,14,2508.3,0,,-35116.200000000004
2015-12-14 15:15:00+00:00,-14,2597.3,0,,36362.200000000004
2015-12-30 10:06:00+00:00,-14,2624.0,0,,36736.0
2015-12-30 15:15:00+00:00,14,2620.5,0,,-36687.0
2016-01-07 10:21:00+00:00,-15,2338.3,0,,35074.5
2016-01-07 15:00:00+00:00,15,2338.3,0,,-35074.5
2016-02-16 10:21:00+00:00,16,2208.6,0,,-35337.6
2016-02-16 15:00:00+00:00,-16,2212.2,0,,35395.2
2016-02-22 10:21:00+00:00,-16,2233.4,0,,35734.4
2016-02-22 10:40:00+00:00,16,2246.0,0,,-35936.0
2016-02-22 10:41:00+00:00,-16,2244.9,0,,35918.4
2016-02-22 11:02:00+00:00,16,2261.1,0,,-36177.6
