,0
Annual return,-0.0384715201001995
Cumulative returns,-0.2241194337879967
Annual volatility,0.22491658332300873
Sharpe ratio,-0.05664039727332891
Calmar ratio,-0.08373262392435936
Stability,0.5559051957226647
Max drawdown,-0.45945676006705705
Omega ratio,0.9820853427230256
Sortino ratio,-0.07188993201717649
Skew,-4.060877264180134
Kurtosis,74.75431522266318
Tail ratio,1.01940133318112
Daily value at risk,-0.028387378996496022
Gross leverage,0.05390274916987539
Daily turnover,0.0036957392276488923
