date,amount,price,sid,symbol,value
2015-05-19 00:00:00+00:00,-3.0,2985.9,1,ih00,8957.7
2015-05-19 00:00:00+00:00,1.0,8933.3,2,ic00,-8933.3
2015-05-20 00:00:00+00:00,1.0,9254.1,2,ic00,-9254.1
2015-05-21 00:00:00+00:00,1.0,9446.4,2,ic00,-9446.4
2015-05-22 00:00:00+00:00,3.0,3213.4,1,ih00,-9640.2
2015-05-25 00:00:00+00:00,3.0,4099.4,0,if00,-12298.199999999999
2015-05-26 00:00:00+00:00,3.0,4244.7,0,if00,-12734.099999999999
2015-05-26 00:00:00+00:00,3.0,3440.4,1,ih00,-10321.2
2015-05-29 00:00:00+00:00,-3.0,3192.8,1,ih00,9578.400000000001
2015-06-03 00:00:00+00:00,2.0,4336.0,0,if00,-8672.0
2015-06-23 00:00:00+00:00,-8.0,3767.7,0,if00,30141.6
2015-06-23 00:00:00+00:00,-2.0,2883.7,1,ih00,5767.4
2015-06-23 00:00:00+00:00,-3.0,10162.6,2,ic00,30487.800000000003
2015-06-29 00:00:00+00:00,-1.0,3553.1,0,if00,3553.1
2015-06-29 00:00:00+00:00,-2.0,2785.3,1,ih00,5570.6
2015-06-30 00:00:00+00:00,-1.0,3334.0,0,if00,3334.0
2015-06-30 00:00:00+00:00,-2.0,2710.6,1,ih00,5421.2
2015-07-24 00:00:00+00:00,2.0,3571.2,0,if00,-7142.4
2015-08-25 00:00:00+00:00,-1.0,2699.2,0,if00,2699.2
2015-09-17 00:00:00+00:00,6.0,2328.8,1,ih00,-13972.800000000001
2015-10-12 00:00:00+00:00,1.0,3072.3,0,if00,-3072.3
2015-10-12 00:00:00+00:00,1.0,7514.1,2,ic00,-7514.1
2015-10-13 00:00:00+00:00,3.0,2420.1,1,ih00,-7260.299999999999
2015-10-16 00:00:00+00:00,2.0,3223.0,0,if00,-6446.0
2015-10-26 00:00:00+00:00,4.0,2472.6,1,ih00,-9890.4
2015-11-30 00:00:00+00:00,-2.0,3332.0,0,if00,6664.0
2015-11-30 00:00:00+00:00,-7.0,2493.0,1,ih00,17451.0
2015-12-18 00:00:00+00:00,3.0,3581.9,0,if00,-10745.7
2015-12-22 00:00:00+00:00,3.0,3696.4,0,if00,-11089.2
2015-12-22 00:00:00+00:00,4.0,2694.2,1,ih00,-10776.8
2016-01-05 00:00:00+00:00,-6.0,3327.4,0,if00,19964.4
2016-01-05 00:00:00+00:00,-4.0,2452.0,1,ih00,9808.0
2016-01-05 00:00:00+00:00,-1.0,8510.0,2,ic00,8510.0
2016-01-08 00:00:00+00:00,-3.0,3225.8,0,if00,9677.400000000001
2016-01-08 00:00:00+00:00,-4.0,2397.3,1,ih00,9589.2
2016-01-08 00:00:00+00:00,-1.0,8343.6,2,ic00,8343.6
2016-01-11 00:00:00+00:00,-1.0,7996.6,2,ic00,7996.6
2016-01-12 00:00:00+00:00,-3.0,3113.5,0,if00,9340.5
2016-01-12 00:00:00+00:00,-4.0,2328.5,1,ih00,9314.0
2016-02-17 00:00:00+00:00,2.0,7871.7,2,ic00,-15743.4
2016-02-18 00:00:00+00:00,3.0,3064.5,0,if00,-9193.5
2016-02-18 00:00:00+00:00,-5.0,2251.0,1,ih00,11255.0
2016-02-23 00:00:00+00:00,3.0,3092.2,0,if00,-9276.599999999999
2016-02-23 00:00:00+00:00,13.0,2267.4,1,ih00,-29476.2
2016-02-23 00:00:00+00:00,1.0,8099.0,2,ic00,-8099.0
2016-02-26 00:00:00+00:00,-1.0,7508.1,2,ic00,7508.1
2016-03-07 00:00:00+00:00,5.0,2384.6,1,ih00,-11923.0
2016-03-08 00:00:00+00:00,3.0,3127.8,0,if00,-9383.400000000001
2016-03-18 00:00:00+00:00,3.0,3207.1,0,if00,-9621.3
2016-03-21 00:00:00+00:00,5.0,2442.5,1,ih00,-12212.5
2016-03-21 00:00:00+00:00,1.0,8377.1,2,ic00,-8377.1
2016-03-22 00:00:00+00:00,3.0,3311.6,0,if00,-9934.8
2016-04-21 00:00:00+00:00,-1.0,8498.7,2,ic00,8498.7
2016-05-04 00:00:00+00:00,7.0,2460.3,1,ih00,-17222.100000000002
2016-05-09 00:00:00+00:00,-17.0,2394.8,1,ih00,40711.600000000006
2016-05-10 00:00:00+00:00,-9.0,3168.4,0,if00,28515.600000000002
2016-05-10 00:00:00+00:00,-7.0,2348.1,1,ih00,16436.7
2016-05-10 00:00:00+00:00,-1.0,8320.9,2,ic00,8320.9
2016-06-01 00:00:00+00:00,7.0,2479.3,1,ih00,-17355.100000000002
2016-06-01 00:00:00+00:00,1.0,8948.5,2,ic00,-8948.5
2016-06-06 00:00:00+00:00,4.0,3382.9,0,if00,-13531.6
2016-06-06 00:00:00+00:00,2.0,9092.0,2,ic00,-18184.0
2016-06-14 00:00:00+00:00,-4.0,3229.6,0,if00,12918.4
2016-06-15 00:00:00+00:00,-2.0,8590.6,2,ic00,17181.2
2016-06-29 00:00:00+00:00,2.0,9359.0,2,ic00,-18718.0
2016-07-05 00:00:00+00:00,5.0,3417.1,0,if00,-17085.5
2016-07-05 00:00:00+00:00,9.0,2512.8,1,ih00,-22615.2
2016-07-05 00:00:00+00:00,2.0,9508.0,2,ic00,-19016.0
2016-07-08 00:00:00+00:00,2.0,9658.8,2,ic00,-19317.6
2016-07-13 00:00:00+00:00,5.0,3528.9,0,if00,-17644.5
2016-07-28 00:00:00+00:00,-10.0,3449.9,0,if00,34499.0
2016-07-28 00:00:00+00:00,10.0,2531.5,1,ih00,-25315.0
2016-07-28 00:00:00+00:00,-6.0,9598.3,2,ic00,57589.799999999996
2016-08-10 00:00:00+00:00,12.0,2551.3,1,ih00,-30615.600000000002
2016-08-15 00:00:00+00:00,6.0,3598.0,0,if00,-21588.0
2016-08-16 00:00:00+00:00,6.0,3698.1,0,if00,-22188.6
2016-08-17 00:00:00+00:00,2.0,10137.5,2,ic00,-20275.0
2016-09-02 00:00:00+00:00,-12.0,3595.2,0,if00,43142.399999999994
2016-09-07 00:00:00+00:00,3.0,10244.5,2,ic00,-30733.5
2016-09-13 00:00:00+00:00,-6.0,3569.1,0,if00,21414.6
2016-09-13 00:00:00+00:00,-31.0,2578.8,1,ih00,79942.8
